title,company,location,salary_min,salary_max,contract_time,description,url,avg_salary,is_senior,is_junior,location_code
"staff data analyst, product",Vercel,"San Diego, San Diego County",111053.92,111053.92,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101332380?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=6551074707F8C02D1B923E04B1104FF3ECC864C9,111053.92,0,0,31
"staff data analyst, product",Vercel,"Bee Cave, Travis County",103747.07,103747.07,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101332242?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=6F4C37E6B574731DA78BB01C3613119670287549,103747.07,0,0,4
"staff data analyst, product",Vercel,"Hayes Valley, San Francisco",118066.55,118066.55,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101332586?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=F920A47C7C769795F02A1AFB6D01A034B4BAC716,118066.55,0,0,14
"staff data analyst, product",Vercel,"Grand Central, Manhattan",110485.59,110485.59,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101332581?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=04C677061E31753F40D0F7BBA57A9A7248457645,110485.59,0,0,13
"staff data analyst, product",Vercel,"Campbell, Santa Clara County",119268.52,119268.52,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101332214?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=C2730A77C9B29922EC8A28CF0DF046EA3A50A55D,119268.52,0,0,6
"staff data analyst, product",Vercel,"Textile Finance, Los Angeles County",116423.7,116423.7,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101331982?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=7673A2179299677A467175AA4FDEF734E4973B47,116423.7,0,0,36
"staff data analyst, product",Vercel,"South Boston, Suffolk County",121495.22,121495.22,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101332578?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=314513A1596DD26E836EB5C4B0F07B9F4D657902,121495.22,0,0,33
"staff data analyst, product",Vercel,"Elkins Park, Montgomery County",111674.59,111674.59,full_time,"Vercel’s Frontend Cloud provides the developer experience and infrastructure to build, scale, and se",https://www.adzuna.com/land/ad/5101333125?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=66E85B393AE9635103D0AA3BAA1D0675EA2CDF5D,111674.59,0,0,10
financial risk data analyst,"Interactive Brokers Group, Inc.","Glenville, Fairfield County",93034.29,93034.29,full_time,"Interactive Brokers Group, Inc. (Nasdaq: IBKR) is a global financial services company headquartered ",https://www.adzuna.com/land/ad/5112267983?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=F0BB386880B156CB973ECAD5462EFE948BB6AA54,93034.29,0,0,12
"senior data analyst, customer & gtm data",Tableau Software,"West Indianapolis, Marion County",80572.23,80572.23,full_time,"Trusted business data is the foundation for Salesforce to know our customers, meet our business goal",https://www.adzuna.com/land/ad/4796480152?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=1DE687CE5CD6CED3CC9FABB3A69BBA6DA305242B,80572.23,1,0,41
